,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,popularity_1,popularity_box,popularity_manual,popularity_log,popularity_raiz,popularity_minmax
0,0amhzLwuGALhb81XyyuUlN,Chronic Law,Stay Real,Stay Real,18,196571,False,0.544,0.689,C,-7.764,minor,0.246,0.147,0.0,0.151,0.422,87.328,compas_4,j-dance,19,8.969625604450872,-0.15643112244897958,2.8903717578961645,4.242640687119285,0.18367346938775508
1,3YQ5NYk2legzeloibRyXn1,Marksman,Verified Choppa 2,Verified Choppa 2,58,139093,False,0.725,0.604,G,-5.874,major,0.408,0.117,0.0,0.0855,0.449,199.995,compas_4,dancehall,59,20.51136307189389,0.25173214285714285,4.060443010546419,7.615773105863909,0.5918367346938775
2,36NwMJRaCy7x77xYGJiG2M,Allman Brothers Band,Fishing Music,Midnight Rider,1,177960,False,0.346,0.589,G,-9.922,major,0.036,0.21,0.00703,0.15,0.638,189.486,compas_4,hard-rock,2,0.87713654039863,-0.3299005102040816,0.0,1.0,0.01020408163265306
3,7CdWPnD06ONtWrKmv3dQYH,Sirkazhi Govindarajan,Kathalikka Neramillai,Kaadhalikka Neramillai,32,313933,False,0.438,0.633,G_A,-9.97,major,0.107,0.929,0.16,0.0855,0.86,78.673,compas_4,classical,33,13.539043779555067,-0.013573979591836729,3.4657359027997265,5.656854249492381,0.32653061224489793
4,73fRMyckZKtemX14eku8uu,Sertab Erener,İyiliğe Ninniler,Dandini Dandini Dastana,48,149168,False,0.506,0.233,D_E,-12.077,minor,0.0276,0.957,2.8e-05,0.116,0.275,88.08,compas_4,songwriter,49,17.988619816401375,0.14969132653061226,3.871201010907891,6.928203230275509,0.4897959183673469
5,7qqX9USUjXHTBVeC0kLeJy,The Cramps,Pumpkin Patch Hits,I Was A Teenage Werewolf - Remastered,0,183866,False,0.412,0.601,D,-10.493,major,0.0536,0.000866,0.0455,0.321,0.49,114.543,compas_4,blues,1,0.0,-0.3401045918367347,0.0,0.0,0.0
6,3jagGO7eHHuaD53ibehkux,Mastodon,Leviathan,Blood and Thunder,65,228586,False,0.364,0.935,D,-6.548,major,0.0724,8.58e-06,0.729,0.0317,0.478,92.717,compas_4,groove,66,22.189616450206024,0.3231607142857143,4.174387269895637,8.06225774829855,0.6632653061224489
7,10dxzInPZt9hwjyeEtmhxx,Matrix & Futurebound;James Walsh,Mystery Machine,This Time,15,191379,False,0.446,0.9,D,-3.212,minor,0.0359,0.142,1.86e-06,0.432,0.421,173.943,compas_4,drum-and-bass,16,7.852788905213304,-0.18704336734693877,2.70805020110221,3.872983346207417,0.1530612244897959
8,0FVSqpAJUXF2AfSI9TQcoH,Tobee,Holz vor der Tür,Holz vor der Tür,28,216573,False,0.655,0.961,E,-2.402,major,0.102,0.00954,0.0,0.334,0.793,135.999,compas_4,party,29,12.31712296918866,-0.054390306122448974,3.332204510175204,5.291502622129181,0.2857142857142857
9,5L8R2cyft2HfQ1IlfVAbcz,Sultan + Shepard,"Something, Everything",Salta,63,222250,False,0.653,0.604,G,-10.177,minor,0.0327,0.0448,0.908,0.255,0.0768,119.98,compas_4,progressive-house,64,21.71667426250859,0.30275255102040816,4.143134726391533,7.937253933193772,0.6428571428571428
